original_path,output_path,articleurl,status
index.html,index.html,no,merged
index3.html,index3.html,no,merged
slides.html,slides.html,no,merged
template.html,template.html,no,merged
content\dataknobs-capabilities.html,content\dataknobs-capabilities.html,yes,merged
content\kreate-kontrols-abexperiment-knobs.html,content\kreate-kontrols-abexperiment-knobs.html,no,merged
content\orthogonal-dials-info.html,content\orthogonal-dials-info.html,no,merged
content\orthogonal-dials.html,content\orthogonal-dials.html,no,merged
content\orthogonality-in-ai-ml.html,content\orthogonality-in-ai-ml.html,no,merged
content\about-dataknobs\about-dataknobs-page.html,content\about-dataknobs\about-dataknobs-page.html,no,merged
content\about-dataknobs\workshop.html,content\about-dataknobs\workshop.html,yes,merged
content\agent-ai\agent-ai\agent-ai-use-cases\ai-agent-use-cases-factors.html,content\agent-ai\agent-ai\agent-ai-use-cases\agentic-enterprise-framework-autonomous-ai.html,yes,merged
content\agent-ai\enterprise\agent-ai-governance-framework-2.html,content\agent-ai\enterprise\agent-ai-governance-framework-2.html,no,merged
content\agent-ai\enterprise\agent-ai-security-concerns.html,content\agent-ai\enterprise\agent-ai-security-concerns.html,no,merged
content\agent-ai\enterprise\agenti-ai-ethical-concerns.html,content\agent-ai\enterprise\agenti-ai-ethical-concerns.html,no,merged
content\agent-ai\enterprise\agentic-ai-gtm.html,content\agent-ai\enterprise\agentic-ai-gtm.html,no,merged
content\agent-ai\guide\8-core-principles-of-research-ai-agents.html,content\agent-ai\guide\8-core-principles-of-research-ai-agents.html,no,merged
content\agent-ai\guide\agent-ai-evolution.html,content\agent-ai\guide\agent-ai-evolution.html,no,merged
content\agent-ai\guide\agent-ai-slides-main.html,content\agent-ai\guide\agent-ai-slides-main.html,yes,merged
content\agent-ai\guide\agentic-ai-2024-2025.html,content\agent-ai\guide\agentic-ai-2024-2025.html,no,merged
content\agent-ai\guide\agentic-ai-adoption-framework.html,content\agent-ai\guide\agentic-ai-adoption-framework.html,no,merged
content\agent-ai\guide\agentic-ai-challenges.html,content\agent-ai\guide\agentic-ai-challenges.html,no,merged
content\agent-ai\guide\agentic-ai-slides.html,content\agent-ai\guide\agentic-ai-slides.html,no,merged
content\agent-ai\guide\agentic-ai-vs-ai-agent.html,content\agent-ai\guide\agentic-ai-shift-autonomous-systems.html,yes,merged
content\agent-ai\guide\agentic-ai.html,content\agent-ai\guide\agentic-ai.html,no,merged
